ID,Policy Start Date,Policy End Date,Gender,Age,First Transaction Date,No_Pol,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,target
ID_035HSJO,2010-06-21,2011-06-19,Female,36,2010-06-21,1,JEEP,,Mercedes,,,Car Plus,0
ID_03H676V,2010-04-04,2011-04-03,Male,37,2010-04-04,1,Saloon,,Honda,,,CarSafe,0
ID_03HT5Q0,2010-11-28,2011-11-27,Male,46,2010-11-28,1,,,,,,CarSafe,0
ID_03LHF6C,2010-08-07,2011-08-06,Male,48,2010-08-07,1,,,,,,CarSafe,0
ID_03O8OI6,2010-05-08,2011-05-07,,120,2010-05-08,2,JEEP,As Attached,TOYOTA,Victoria Island,Lagos,Car Classic,0
ID_03U3I31,2010-09-06,2011-09-05,Male,39,2010-09-06,2,Saloon,Red,TOYOTA,Oshodi-Isolo,Oshodi-Isolo,Car Classic,0
ID_03UD6OT,2010-11-09,2011-11-08,Female,63,2010-11-09,2,Saloon,,ACURA,Abuja Municipal,Abuja-Municipal,CarSafe,0
ID_03V06TZ,2010-03-12,2011-03-11,Female,39,2010-03-12,1,Saloon,Black,Honda,Alimosho,Lagos,Car Classic,0
ID_042RNAI,2010-02-12,2011-02-11,Male,40,2010-02-12,1,Saloon,,Honda,,,CarSafe,0
ID_046FQ5I,2010-04-25,2011-04-09,Male,47,2010-04-25,1,JEEP,Black,Ford,"Okpe, Delta State",Delta,Car Classic,0
ID_04C9IRV,2010-12-25,2011-04-24,Female,36,2010-12-25,1,,,,,,Car Classic,0
ID_04FP4M2,2010-01-13,2011-01-12,Female,47,2010-01-13,3,JEEP,,Lexus,Asaba,Delta,Car Classic,1
ID_04JEN82,2010-03-08,2011-02-09,Male,41,2010-03-08,2,Saloon,Silver,TOYOTA,IbadanCentral,Benue,Car Plus,0
ID_04RDLQY,2010-07-08,2011-07-07,Male,42,2010-07-08,3,Truck,Green,Iveco,Abeokuta,Ogun,CVTP,0
ID_04RZ9TY,2010-04-15,2011-04-14,Male,38,2010-04-15,1,Saloon,Green,TOYOTA,,,Car Classic,0
ID_04Z1VXP,2010-09-09,2011-09-08,Female,27,2010-09-09,1,,,,,,Car Classic,0
ID_052YTIW,2010-06-06,2011-06-05,Male,42,2010-06-06,1,Saloon,Red,TOYOTA,Lekki,Lagos,Car Classic,1
ID_0559SH8,2010-05-20,2011-05-19,Male,39,2010-05-20,1,Saloon,Grey,Honda,,,Car Classic,0
ID_0577HW2,2010-04-26,2011-04-25,Female,30,2010-04-26,2,Saloon,Black,TOYOTA,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0
ID_058FZ64,2010-04-23,2011-04-22,Female,64,2010-04-23,1,Saloon,Black,TOYOTA,,,Car Classic,0
ID_058YC0S,2010-11-28,2011-11-27,,120,2010-11-28,1,JEEP,Black,Lexus,Victoria Island,Lagos,Customized Motor,0
ID_05CDD8E,2010-07-31,2011-07-30,Male,36,2010-07-31,1,Saloon,,Volkswagen,,,CarSafe,0
ID_05FC0AD,2010-07-04,2011-07-03,Female,50,2010-07-04,1,Saloon,,TOYOTA,OBANIKORO,Benue,Car Classic,0
ID_05HTYFW,2010-08-15,2011-08-14,Female,53,2010-08-15,1,Saloon,,TOYOTA,,,CarSafe,0
ID_05R7YFI,2010-02-18,2011-02-17,Male,37,2010-02-18,1,JEEP,Ash,Lexus,Agege,Lagos,Car Classic,1
ID_05RDR1E,2010-08-21,2011-07-16,Male,33,2010-08-21,2,,,,ISHERI,Benue,Car Classic,0
ID_05ROASD,2010-09-17,2011-09-16,Male,23,2010-09-17,1,,,,,,Car Classic,0
ID_05VUW92,2010-07-26,2011-03-01,Male,47,2010-07-26,1,,,,,,Car Classic,0
ID_063CV9E,2010-09-20,2011-09-19,Male,47,2010-09-20,1,,,,,,CarSafe,0
ID_063MQH3,2010-10-09,2011-04-08,Male,45,2010-10-09,1,Saloon,Blue,TOYOTA,Kosofe,Benue,Car Classic,1
ID_067V50A,2010-04-04,2011-04-02,Male,32,2010-04-04,1,Saloon,,Mercedes,,,CarSafe,0
ID_06A4GSU,2010-11-26,2011-11-25,Male,59,2010-11-26,1,,,,,,Car Classic,0
ID_06BSIZB,2010-01-17,2011-01-16,Male,30,2010-01-17,1,Saloon,,Nissan,,,CarSafe,0
ID_06CA2IY,2010-05-13,2011-04-10,Female,60,2010-05-13,1,Saloon,,TOYOTA,IbadanCentral,Benue,Car Classic,1
ID_06HCAU1,2010-06-19,2011-04-14,Male,37,2010-06-19,1,Truck,White,DAF,OGUN,Ogun,CVTP,0
ID_06MWQX4,2010-07-11,2011-07-10,Female,37,2010-07-11,1,Saloon,,TOYOTA,,,CarSafe,0
ID_06TZLPR,2010-11-06,2011-08-06,Male,52,2010-11-06,3,Saloon,Blue,TOYOTA,Apapa,Lagos,Car Classic,0
ID_06WKCVO,2010-04-28,2011-04-27,Male,54,2010-04-28,1,JEEP,,Honda,Ibadan South West,Ibadan-West,Car Plus,0
ID_070SYAE,2010-04-17,2011-04-16,,120,2010-04-17,1,JEEP,Silver,Lexus,Victoria Island,Lagos,Customized Motor,0
ID_075PIAF,2010-10-17,2011-10-16,Female,40,2010-10-17,1,,,,,,CarSafe,0
ID_076DFB7,2010-08-08,2011-08-07,Joint Gender,1,2010-08-08,1,,,,,,CarSafe,0
ID_0785NAL,2010-05-17,2011-05-15,Male,44,2010-05-17,1,Saloon,,Hyundai,,,CarSafe,0
ID_0790YUZ,2010-09-30,2011-08-13,Female,11,2010-09-30,3,,,,Victoria Island,Lagos,Car Classic,0
ID_079GMOS,2010-04-10,2011-04-09,Entity,20,2010-04-10,2,,,TOYOTA,Victoria Island,Lagos,Car Classic,0
ID_07L368O,2010-09-16,2010-12-31,,120,2010-09-16,4,,,,Victoria Island,Lagos,Muuve,1
ID_07LQ83J,2010-10-23,2011-10-22,Male,78,2010-10-23,2,Saloon,,TOYOTA,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0
ID_07Q2HUE,2010-03-25,2011-03-24,Male,20,2010-03-25,1,Saloon,,TOYOTA,,,CarSafe,0
ID_07SVRHZ,2010-08-23,2011-08-22,Female,28,2010-08-23,1,,,,,,Car Classic,0
ID_08833XP,2010-05-23,2011-05-22,Female,42,2010-05-23,1,JEEP,Gray & Gray,Honda,,,Car Classic,0
ID_088DOQ3,2010-01-07,2011-01-06,Female,50,2010-01-07,2,Saloon,Black,TOYOTA,Ikeja,Lagos,Car Classic,1
ID_08EMHRD,2010-07-23,2011-07-22,Female,37,2010-07-23,1,Saloon,White,TOYOTA,,,Car Classic,0
ID_08QV44L,2010-07-24,2011-06-13,Female,34,2010-07-24,1,Bus,Blue,TOYOTA,,,Car Classic,0
ID_091T5SH,2010-07-05,2010-12-31,,120,2010-07-05,4,,As Attached,.,Victoria Island,Lagos,Muuve,0
ID_094BCZS,2010-09-17,2011-09-16,Male,44,2010-09-17,1,Saloon,Black,Mercedes,Victoria Island,Lagos,Car Classic,0
ID_097A14O,2010-07-30,2011-07-29,Entity,120,2010-07-30,2,,,,Victoria Island,Lagos,CVTP,0
ID_09BCKQW,2010-07-24,2011-07-23,Male,39,2010-07-24,2,Saloon,Black,TOYOTA,Obia/Akpor,Obia-Akpor,Car Classic,0
ID_09E0NR0,2010-09-16,2011-09-15,Female,29,2010-09-16,1,,,,,,Car Classic,0
ID_09ECI55,2010-02-01,2011-01-31,Female,32,2010-02-01,1,Saloon,Wine,TOYOTA,Surulere,Lagos,Car Classic,0
ID_09IHZ9D,2010-12-12,2011-08-10,,57,2010-12-12,1,Saloon,Grey,Pontiac,Ibadan South East,Ibadan-East,Customized Motor,0
ID_09M1LIC,2010-02-11,2011-02-10,Male,38,2010-02-11,1,Saloon,,TOYOTA,Sapele,Delta,Car Classic,0
ID_09MIIAB,2010-01-15,2011-01-14,Female,12,2010-01-15,3,Saloon,,TOYOTA,Victoria Island,Lagos,Customized Motor,0
ID_09N5ZQL,2010-04-04,2011-04-03,Male,53,2010-04-04,2,Saloon,Black,Honda,Abuja Municipal,Abuja-Municipal,Car Classic,0
ID_09OYXKX,2010-02-12,2011-02-11,Female,65,2010-02-12,1,Saloon,,Mercedes,,,CarSafe,0
ID_09TVK15,2010-01-12,2011-01-11,Female,32,2010-01-12,1,Saloon,,TOYOTA,,,Car Classic,0
ID_09YO39R,2010-07-19,2011-07-18,,20,2010-07-19,1,Motorcycle,As Attached,.,Lekki,Lagos,Motor Cycle,0
ID_0A94GFU,2010-10-30,2011-10-29,Female,30,2010-10-30,1,,,,,,CarSafe,0
ID_0AJ12UF,2010-03-27,2011-03-26,Male,48,2010-03-27,1,JEEP,,TOYOTA,Oshodi-Isolo,Oshodi-Isolo,Customized Motor,0
ID_0AP9C8K,2010-10-23,2011-05-27,Female,37,2010-10-23,2,Saloon,Black,TOYOTA,Kaduna South,Kaduna-South,Car Classic,0
ID_0AU7A1K,2010-12-12,2011-12-11,Male,37,2010-12-12,1,,,,,,Car Classic,0
ID_0B5W1GU,2010-02-08,2011-02-07,Female,50,2010-02-08,1,Saloon,,TOYOTA,,,CarSafe,0
ID_0B7IUMF,2010-11-13,2011-11-12,Male,53,2010-11-13,2,,White,Range Rover,Ikorodu,Lagos,Car Classic,0
ID_0BBIOBG,2010-05-17,2011-05-16,Female,44,2010-05-17,1,Saloon,,TOYOTA,,,CarSafe,0
ID_0BN4W5V,2010-07-01,2010-12-31,Male,35,2010-07-01,2,JEEP,As Attached,Lexus,,,Car Classic,0
ID_0BNN4SR,2010-07-31,2011-07-30,Female,120,2010-07-31,1,Saloon,Black,TOYOTA,Victoria Island,Lagos,Car Classic,0
ID_0BUJCEP,2010-12-16,2011-12-15,Female,73,2010-12-16,2,JEEP,,TOYOTA,Amuwo-Odofin,Amuwo-Odofin,Customized Motor,0
ID_0BXLGTA,2010-12-27,2011-12-26,Male,34,2010-12-27,1,JEEP,,Lexus,Awka,Anambra,Car Classic,0
ID_0C14U0E,2010-10-11,2011-10-09,Male,41,2010-10-11,1,,,,,,CarSafe,0
ID_0C6NVMA,2010-02-25,2011-02-24,Female,56,2010-02-25,1,JEEP,,Hyundai,,,CarSafe,0
ID_0CIS10Q,2010-11-18,2011-11-17,,120,2010-11-18,2,,,,Victoria Island,Lagos,Motor Cycle,0
ID_0CJO0AT,2010-08-02,2011-07-08,Female,29,2010-08-02,1,,,,,,Car Classic,0
ID_0CM4BI3,2010-10-26,2011-10-25,Male,36,2010-10-26,1,Saloon,,Honda,,,CarSafe,0
ID_0CW58L7,2010-03-26,2011-03-25,Female,56,2010-03-26,1,JEEP,Black,Nissan,Lagos Mainland,Lagos,Car Classic,0
ID_0D03EM0,2010-03-02,2011-03-01,Female,44,2010-03-02,1,Saloon,Ash,TOYOTA,GBAGADA,Benue,Car Classic,0
ID_0D2UBKM,2010-08-06,2011-08-05,Male,34,2010-08-06,1,Saloon,Red,TOYOTA,,,Car Classic,1
ID_0D57898,2010-08-20,2011-02-17,Male,55,2010-08-20,3,,,,Lekki,Lagos,Car Classic,0
ID_0DB63CB,2010-07-02,2011-07-01,Female,26,2010-07-02,1,JEEP,Black,Honda,Port Harcourt,Rivers,Car Classic,1
ID_0DGZCRK,2010-12-10,2011-12-09,,38,2010-12-10,1,Saloon,,Volkswagen,Victoria Island,Lagos,CarSafe,0
ID_0DLE3E9,2010-01-30,2011-01-29,Male,20,2010-01-30,1,Saloon,,Kia,,,CarSafe,0
ID_0DQURZJ,2010-11-12,2011-11-11,Male,49,2010-11-12,1,,,,,,CarSafe,0
ID_0E0GIOO,2010-07-24,2011-01-15,Female,38,2010-07-24,1,JEEP,Wine,TOYOTA,Lekki,Lagos,Car Classic,0
ID_0E461H1,2010-05-16,2011-05-14,Male,42,2010-05-16,1,Saloon,Black,TOYOTA,,,Car Classic,0
ID_0E4K0GF,2010-08-07,2011-08-06,Male,31,2010-08-07,1,Saloon,,TOYOTA,,,CarSafe,0
ID_0EARV5X,2010-01-21,2011-01-20,Male,43,2010-01-21,1,Saloon,Green,Honda,Kosofe,Benue,Car Classic,0
ID_0EHKMTL,2010-09-04,2011-09-03,Male,50,2010-09-04,2,JEEP,Black,TOYOTA,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0
ID_0EJ4LR3,2010-01-11,2011-01-10,Male,38,2010-01-11,1,,As Attached,Lexus,Surulere,Lagos,Car Classic,0
ID_0ELAKXI,2010-02-04,2011-02-03,Male,30,2010-02-04,2,Saloon,Black,Honda,Obia/Akpor,Obia-Akpor,Car Classic,1
ID_0EM6LSO,2010-03-26,2011-03-24,Female,65,2010-03-26,1,JEEP,Black,TOYOTA,Lagos Mainland,Lagos,Car Classic,0
ID_0EMO48C,2010-02-15,2011-02-14,,50,2010-02-15,1,,White,Mitsubishi,Victoria Island,Lagos,CVTP,0
ID_0ENFSCX,2010-08-15,2011-08-14,Male,20,2010-08-15,1,,,TOYOTA,Ikeja,Lagos,Car Classic,0
ID_0EQQYES,2010-08-29,2011-08-28,Male,35,2010-08-29,2,,Silver,TOYOTA,,,Car Classic,1
ID_0ESEOON,2010-08-21,2011-08-06,Male,20,2010-08-21,1,,,Iveco,Abeokuta,Ogun,CVTP,0
ID_0ESTG4D,2010-08-09,2011-08-08,Joint Gender,35,2010-08-09,1,,,,,,CarSafe,0
ID_0EYU1TC,2010-03-16,2011-03-15,Male,36,2010-03-16,2,Saloon,Ash,TOYOTA,,,Car Classic,0
ID_0F0ZI7B,2010-10-21,2011-10-20,Male,70,2010-10-21,1,,,TOYOTA,Minna,Niger-State,Car Plus,0
ID_0F1JIXI,2010-06-03,2011-06-02,Female,60,2010-06-03,1,,Black,Lexus,IbadanCentral,Benue,Car Classic,1
ID_0F1PDB1,2010-05-31,2011-05-30,Male,38,2010-05-31,1,Saloon,Grey,TOYOTA,,,Car Classic,1
ID_0F3IJXA,2010-01-16,2011-01-15,Female,45,2010-01-16,1,,,TOYOTA,Shomolu,Benue,Car Classic,1
ID_0F5MJ5K,2010-12-19,2011-11-17,Male,37,2010-12-19,1,Saloon,Black,Honda,,,Car Classic,1
ID_0F6TNYQ,2010-05-21,2011-05-03,Male,30,2010-05-21,1,,As Attached,Scania,Benin,Edo,CVTP,0
ID_0F7BHGK,2010-02-04,2011-02-03,Entity,18,2010-02-04,1,Saloon,,Hyundai,Victoria Island,Lagos,Customized Motor,1
ID_0F7DPHC,2010-12-12,2011-12-11,Female,35,2010-12-12,1,,,,,,CarSafe,0
ID_0FIFLYO,2010-06-28,2011-06-26,Female,27,2010-06-28,1,Saloon,,TOYOTA,,,Car Classic,0
ID_0FP7360,2010-12-09,2011-10-22,Male,46,2010-12-09,1,JEEP,Black,TOYOTA,Surulere,Lagos,Car Classic,0
ID_0FRE9RN,2010-10-24,2011-10-23,Male,30,2010-10-24,1,,,,,,CarSafe,0
ID_0FYEA7B,2010-07-02,2011-06-30,Female,32,2010-07-02,1,Saloon,,Lexus,,,CarSafe,0
ID_0G2PBAI,2010-11-14,2011-11-13,Female,38,2010-11-14,1,Saloon,,Hyundai,,,CarSafe,0
ID_0G53YNR,2010-05-07,2011-05-05,Male,47,2010-05-07,1,Saloon,,TOYOTA,,,Car Classic,0
ID_0G5JBV3,2010-12-24,2011-12-23,Female,52,2010-12-24,1,Saloon,,TOYOTA,,,CarSafe,0
ID_0G85YVU,2010-06-14,2011-06-13,Female,60,2010-06-14,1,Saloon,,TOYOTA,Lagos Island,Lagos,Car Classic,0
ID_0GHLS5X,2010-12-03,2011-12-02,Male,45,2010-12-03,2,,White,BMW,Eti-Osa,Eti-Osa,Customized Motor,0
ID_0GIIW66,2010-01-26,2011-01-25,Female,45,2010-01-26,1,Saloon,,TOYOTA,,,CarSafe,0
ID_0GJ23TT,2010-10-02,2011-09-30,Male,39,2010-10-02,1,,,,,,CarSafe,0
ID_0GNVQFF,2010-11-14,2011-04-14,Male,40,2010-11-14,2,Saloon,Wine,Pontiac,,,Car Classic,0
ID_0GO0K5A,2010-01-10,2011-01-09,Male,51,2010-01-10,1,Saloon,Red,Hyundai,Central,Benue,Car Classic,0
ID_0GR2QRL,2010-04-19,2011-04-18,Male,48,2010-04-19,1,,,Lexus,Oshodi-Isolo,Oshodi-Isolo,Customized Motor,0
ID_0GVDM31,2010-01-11,2011-01-10,Male,58,2010-01-11,3,Saloon,Silver,TOYOTA,Ikeja,Lagos,Car Classic,0
ID_0GVEZFQ,2010-10-23,2011-10-22,Male,39,2010-10-23,2,,,Honda,Surulere,Lagos,Car Classic,0
ID_0GVFN13,2010-09-13,2011-09-12,Female,44,2010-09-13,1,,,,,,CarSafe,0
ID_0H49SVS,2010-02-25,2011-02-24,Male,43,2010-02-25,1,Saloon,Brown,TOYOTA,Obia/Akpor,Obia-Akpor,Car Classic,1
ID_0HK4TFC,2010-06-11,2011-03-09,Female,36,2010-06-11,1,Saloon,,Mercedes,Lagos Island,Lagos,Car Classic,0
ID_0HO82AC,2010-07-04,2011-07-03,Male,53,2010-07-04,1,Saloon,,TOYOTA,,,CarSafe,0
ID_0HOD99L,2010-12-12,2011-12-11,Female,14,2010-12-12,1,,,,,,CarSafe,0
ID_0HWAFTI,2010-08-14,2011-08-13,Male,40,2010-08-14,1,,,,,,CarSafe,0
ID_0I6NUTV,2010-02-11,2011-01-30,Male,44,2010-02-11,1,,Red & Blue,Iveco,Victoria Island,Lagos,CVTP,0
ID_0I7MKL8,2010-10-17,2011-10-16,Female,34,2010-10-17,1,,,,,,CarSafe,0
ID_0I7WSXN,2010-01-14,2011-01-13,Male,41,2010-01-14,1,Saloon,,TOYOTA,,,CarSafe,0
ID_0IFDCEJ,2010-12-07,2011-08-10,Female,42,2010-12-07,2,,,Mercedes,Victoria Island,Lagos,Car Classic,0
ID_0IGLH7L,2010-01-12,2011-01-11,Male,40,2010-01-12,1,Saloon,Gold,TOYOTA,Ebute-Metta,Lagos,Car Classic,0
ID_0IKQ9XJ,2010-07-20,2011-07-19,Male,43,2010-07-20,2,,Blue,TOYOTA,Ketu,Lagos,Car Classic,1
ID_0ILENCN,2010-05-21,2011-05-20,Male,55,2010-05-21,3,JEEP,Black,TOYOTA,Victoria Island,Lagos,Customized Motor,0
ID_0ILP3VL,2010-09-13,2011-09-12,Male,47,2010-09-13,4,Saloon,Black,Nissan,,,Car Classic,1
ID_0INKY4L,2010-12-20,2011-12-19,Male,120,2010-12-20,1,,,,Victoria Island,Lagos,Car Classic,0
ID_0INLN8R,2010-06-07,2011-06-06,Male,37,2010-06-07,3,Saloon,,TOYOTA,,,CarSafe,0
ID_0IRFUYB,2010-06-06,2011-06-05,Female,37,2010-06-06,1,JEEP,Black,TOYOTA,Uyo,Akwa-Ibom,Car Classic,0
ID_0J58IN3,2010-07-05,2010-12-31,,120,2010-07-05,4,,,Mitsubishi,Victoria Island,Lagos,Muuve,0
ID_0J9QBCJ,2010-09-16,2010-12-31,,120,2010-09-16,4,,,Lexus,Victoria Island,Lagos,Muuve,1
ID_0JHDAXS,2010-12-05,2011-12-04,Male,31,2010-12-05,1,,,,,,CarSafe,0
ID_0JPMW2P,2010-12-23,2011-04-21,Male,38,2010-12-23,1,,,,,,Car Classic,0
ID_0JXGM6N,2010-11-22,2011-11-21,Male,40,2010-11-22,1,,,,,,CarSafe,0
ID_0K1BO9A,2010-09-20,2011-09-19,Male,62,2010-09-20,1,Saloon,,TOYOTA,Sapele,Delta,CarSafe,0
ID_0K1VPIE,2010-03-04,2011-03-03,Male,41,2010-03-04,1,Saloon,Blue,TOYOTA,Mushin,Lagos,Car Classic,0
ID_0K7QW76,2010-04-04,2011-04-02,Male,32,2010-04-04,1,Saloon,,Honda,,,Car Classic,0
ID_0KCF3AO,2010-04-30,2011-04-29,Male,49,2010-04-30,1,JEEP,,TOYOTA,Lagos Mainland,Lagos,Car Classic,0
ID_0KDYXJL,2010-06-28,2011-06-27,Female,44,2010-06-28,1,Saloon,,TOYOTA,,,CarSafe,0
ID_0KED35N,2010-09-12,2011-09-11,Female,25,2010-09-12,1,,,,,,Car Classic,0
ID_0KG1GAY,2010-10-29,2011-10-28,Male,31,2010-10-29,1,,,,,,Car Classic,1
ID_0KN7C3J,2010-03-05,2011-03-04,Male,61,2010-03-05,1,Saloon,,Infiniti,,,CarSafe,0
ID_0KVEKCF,2010-09-09,2011-09-08,Female,34,2010-09-09,1,Saloon,Red,TOYOTA,Alimosho,Lagos,Car Classic,0
ID_0KX531O,2010-11-30,2011-11-29,Female,40,2010-11-30,1,Saloon,Black,TOYOTA,,,Car Classic,0
ID_0KZ4T8I,2010-09-24,2011-09-23,Male,28,2010-09-24,1,,,,,,CarSafe,0
ID_0L2GHKC,2010-08-01,2011-07-31,Male,50,2010-08-01,1,Saloon,,TOYOTA,,,CarSafe,0
ID_0L4IT7F,2010-06-20,2011-06-19,Male,62,2010-06-20,2,JEEP,Black,Honda,Katagum,Benue,Car Classic,0
ID_0L92127,2010-03-14,2011-03-13,Female,43,2010-03-14,1,JEEP,Silver,TOYOTA,,,Car Plus,0
ID_0L9531Y,2010-10-07,2011-10-06,Male,51,2010-10-07,1,Saloon,,BMW,Benin,Edo,Car Classic,0
ID_0LQA24Z,2010-11-29,2011-11-28,Male,53,2010-11-29,1,JEEP,,Ford,,,CarSafe,0
ID_0LQJSMC,2010-12-13,2011-12-12,Male,33,2010-12-13,1,Saloon,Gold,Lexus,,,Car Classic,0
ID_0LX75FI,2010-08-09,2011-08-08,Female,50,2010-08-09,1,Saloon,Grey,TOYOTA,,,Car Classic,0
ID_0M2HTZ9,2010-04-04,2011-04-03,Male,37,2010-04-04,1,Saloon,,Lexus,ENUGU EAST,ENUGU-EAST,Car Classic,1
ID_0M4JBB4,2010-09-13,2011-09-12,Female,41,2010-09-13,1,Saloon,Red,Renault,,,Car Classic,0
ID_0M86A7W,2010-10-25,2011-06-19,Male,31,2010-10-25,1,,,,,,Car Classic,1
ID_0MG4G6P,2010-01-08,2011-01-07,Male,37,2010-01-08,1,Saloon,As Attached,Hyundai,,,Car Classic,1
ID_0MH3UFI,2010-08-06,2011-08-05,Male,36,2010-08-06,1,Saloon,White,TOYOTA,,,Car Classic,0
ID_0MHS52N,2010-05-23,2011-05-21,Male,51,2010-05-23,1,JEEP,,Ford,Eti-Osa,Eti-Osa,CarSafe,0
ID_0MJ9TSG,2010-03-14,2011-03-13,Male,40,2010-03-14,1,Saloon,,Honda,,,CarSafe,0
ID_0MJUX0Q,2010-04-30,2011-04-29,Male,40,2010-04-30,1,Saloon,,Honda,,,CarSafe,0
ID_0MKSPPQ,2010-03-04,2011-03-03,Female,43,2010-03-04,2,,,Volkswagen,,,Car Classic,0
ID_0MM2LNR,2010-02-13,2011-01-13,Male,72,2010-02-13,2,,,TOYOTA,Oredo,Benue,Car Classic,0
ID_0MRR0OX,2010-04-12,2011-04-11,Male,45,2010-04-12,1,Saloon,Black,Honda,,,CarSafe,0
ID_0MSQ5JJ,2010-12-13,2011-12-12,Male,33,2010-12-13,1,Saloon,,Honda,,,CarSafe,0
ID_0N28F78,2010-10-02,2011-10-01,Male,32,2010-10-02,1,,,,,,CarSafe,0
ID_0N2X552,2010-04-15,2011-01-03,Female,33,2010-04-15,1,Saloon,Green,Honda,Amuwo-Odofin,Amuwo-Odofin,Car Classic,0
ID_0N7V9K3,2010-09-24,2011-09-19,Male,52,2010-09-24,1,,,,ISHERI,Benue,Car Classic,1
